frequency_hz,frequency_ghz,wavelength_m,cback_m2,rcs_normalized
3.408000000000000000e+09,3.407999999999999918e+00,8.796727053990610612e-02,2.013060381534491697e-02,2.846759053296507320e-03
3.424000000000000000e+09,3.423999999999999932e+00,8.755620852803738807e-02,4.222062375570448389e-02,5.970607936795161580e-03
3.440000000000000000e+09,3.439999999999999947e+00,8.714897034883721527e-02,3.630183699773938816e-03,5.133605731480043489e-04
3.456000000000000000e+09,3.455999999999999961e+00,8.674550289351852517e-02,1.770201376037210464e-02,2.503321231502523506e-03
3.472000000000000000e+09,3.471999999999999975e+00,8.634575403225806800e-02,2.875819226248546231e-02,4.066825065488942868e-03
3.488000000000000000e+09,3.487999999999999989e+00,8.594967259174311758e-02,2.027331225816577948e-03,2.866940094824553921e-04
3.504000000000000000e+09,3.504000000000000004e+00,8.555720833333332886e-02,8.450802153893302929e-03,1.195065868857604499e-03
3.520000000000000000e+09,3.520000000000000018e+00,8.516831193181818860e-02,1.711343415076325286e-02,2.420087546730360223e-03
3.536000000000000000e+09,3.536000000000000032e+00,8.478293495475112962e-02,1.063086799153937882e-02,1.503358765435831900e-03
3.552000000000000000e+09,3.552000000000000046e+00,8.440102984234233718e-02,7.133053294261730961e-04,1.008717087145065048e-04
3.568000000000000000e+09,3.568000000000000060e+00,8.402254988789237267e-02,2.418662654722185043e-02,3.420339435597089320e-03
3.584000000000000000e+09,3.584000000000000075e+00,8.364744921875000294e-02,2.664656796410275891e-02,3.768210794217077657e-03
3.600000000000000000e+09,3.600000000000000089e+00,8.327568277777777639e-02,7.055841251704289118e-04,9.977981855964505517e-05
3.616000000000000000e+09,3.616000000000000103e+00,8.290720630530973301e-02,3.880863435055918048e-02,5.488103198340909920e-03
3.632000000000000000e+09,3.632000000000000117e+00,8.254197632158589981e-02,3.507275817433139209e-02,4.959796177636226731e-03
3.648000000000000000e+09,3.648000000000000131e+00,8.217995010964912472e-02,2.690710275965570077e-03,3.805054189216175052e-04
3.664000000000000000e+09,3.664000000000000146e+00,8.182108569868995485e-02,4.333078363768618629e-02,6.127600629295967306e-03
3.680000000000000000e+09,3.680000000000000160e+00,8.146534184782608379e-02,2.727148847168958321e-02,3.856583608509283126e-03
3.696000000000000000e+09,3.696000000000000174e+00,8.111267803030303147e-02,1.649192897185480918e-03,2.332197709398227544e-04
3.712000000000000000e+09,3.712000000000000188e+00,8.076305441810344155e-02,2.855023454145734496e-02,4.037416830620774687e-03
3.728000000000000000e+09,3.728000000000000203e+00,8.041643186695278389e-02,1.817780203117713364e-02,2.570604586725780578e-03
3.744000000000000000e+09,3.744000000000000217e+00,8.007277190170940251e-02,1.615697118020726145e-03,2.284829824431061011e-04
3.760000000000000000e+09,3.759999999999999787e+00,7.973203670212765382e-02,1.137818541757339326e-02,1.609040277414469167e-03
3.776000000000000000e+09,3.775999999999999801e+00,7.939418908898304705e-02,2.314350432454461912e-02,3.272826839435536653e-03
3.792000000000000000e+09,3.791999999999999815e+00,7.905919251054852048e-02,7.105698804025792695e-03,1.004848765884472188e-03
3.808000000000000000e+09,3.807999999999999829e+00,7.872701102941176421e-02,7.719064709041032792e-03,1.091587591957564980e-03
3.824000000000000000e+09,3.823999999999999844e+00,7.839760930962343111e-02,4.421947213388136011e-02,6.253274058931277898e-03
3.840000000000000000e+09,3.839999999999999858e+00,7.807095260416666016e-02,1.378533499662018547e-02,1.949446105259872945e-03
3.856000000000000000e+09,3.855999999999999872e+00,7.774700674273858636e-02,1.335680768511463522e-02,1.888846134449095101e-03
3.872000000000000000e+09,3.871999999999999886e+00,7.742573811983470555e-02,5.783006787048582814e-02,8.178009501014873658e-03
3.888000000000000000e+09,3.887999999999999901e+00,7.710711368312757330e-02,1.431883880224828903e-02,2.024891273351763117e-03
3.904000000000000000e+09,3.903999999999999915e+00,7.679110092213115024e-02,1.769879535404995236e-02,2.502866102216844222e-03
3.920000000000000000e+09,3.919999999999999929e+00,7.647766785714285587e-02,5.155667239266385760e-02,7.290860484760039104e-03
3.936000000000000000e+09,3.935999999999999943e+00,7.616678302845528159e-02,8.603141407909768376e-03,1.216608846630245176e-03
3.952000000000000000e+09,3.951999999999999957e+00,7.585841548582995808e-02,1.222372732085955441e-02,1.728612153658271467e-03
3.968000000000000000e+09,3.967999999999999972e+00,7.555253477822580777e-02,3.347276127744479302e-02,4.733533433943151215e-03
3.984000000000000000e+09,3.983999999999999986e+00,7.524911094377509380e-02,8.875809873647059339e-03,1.255168118399053881e-03
4.000000000000000000e+09,4.000000000000000000e+00,7.494811449999999597e-02,4.310536153614261297e-03,6.095722677980213453e-04
4.016000000000000000e+09,4.016000000000000014e+00,7.464951643426294414e-02,2.044858315005281674e-02,2.891725938450289638e-03
4.032000000000000000e+09,4.032000000000000028e+00,7.435328819444445014e-02,2.323688545442956221e-02,3.286032284207361133e-03
4.048000000000000000e+09,4.048000000000000043e+00,7.405940167984190192e-02,7.132537857914814268e-04,1.008644196977415689e-04
4.064000000000000000e+09,4.064000000000000057e+00,7.376782923228346334e-02,2.689657362842601956e-02,3.803565217502937607e-03
4.080000000000000000e+09,4.080000000000000071e+00,7.347854362745098733e-02,4.436959232935692998e-02,6.274503229674132862e-03
4.096000000000000000e+09,4.096000000000000085e+00,7.319151806640625257e-02,2.220342820460457969e-03,3.139886455243622791e-04
4.112000000000000000e+09,4.112000000000000099e+00,7.290672616731518063e-02,4.057329935610670679e-02,5.737652398487039576e-03
4.128000000000000000e+09,4.128000000000000114e+00,7.262414195736434375e-02,5.614908470103522481e-02,7.940294124965156797e-03
4.144000000000000000e+09,4.144000000000000128e+00,7.234373986486486441e-02,2.562266582304279124e-03,3.623416196077389423e-04
4.160000000000000000e+09,4.160000000000000142e+00,7.206549471153846087e-02,4.422086168203089723e-02,6.253470561172888229e-03
4.176000000000000000e+09,4.176000000000000156e+00,7.178938170498083693e-02,4.384175694347783314e-02,6.199859658264904663e-03
4.192000000000000000e+09,4.192000000000000171e+00,7.151537643129771138e-02,1.200659310117516165e-04,1.697906228921138776e-05
4.208000000000000000e+09,4.208000000000000185e+00,7.124345484790874095e-02,2.958008400608893446e-02,4.183052466484701165e-03
4.224000000000000000e+09,4.224000000000000199e+00,7.097359327651514560e-02,2.654960371250369641e-02,3.754498644118761143e-03
4.240000000000000000e+09,4.240000000000000213e+00,7.070576839622641496e-02,3.515143400671798344e-03,4.970922080275642268e-04
4.256000000000000000e+09,4.256000000000000227e+00,7.043995723684209898e-02,8.795387503621476116e-03,1.243795230031772290e-03
4.272000000000000000e+09,4.272000000000000242e+00,7.017613717228464443e-02,2.790222791962513466e-02,3.945779305277855899e-03
4.288000000000000000e+09,4.288000000000000256e+00,6.991428591417910010e-02,2.012960033645095487e-02,2.846617146841421038e-03
4.304000000000000000e+09,4.304000000000000270e+00,6.965438150557620722e-02,1.957562911473970015e-03,2.768277589561468415e-04
4.320000000000000000e+09,4.320000000000000284e+00,6.939640231481480903e-02,5.480699049141862789e-02,7.750502558023160057e-03
4.336000000000000000e+09,4.336000000000000298e+00,6.914032702952029041e-02,3.700644769847354076e-02,5.233247893720380586e-03
4.352000000000000000e+09,4.352000000000000313e+00,6.888613465073530062e-02,9.135733152032244481e-03,1.291925036010312978e-03
4.368000000000000000e+09,4.368000000000000327e+00,6.863380448717948390e-02,8.243051190590815203e-02,1.165686872527568578e-02
4.384000000000000000e+09,4.384000000000000341e+00,6.838331614963504002e-02,3.715891819669867729e-02,5.254809431325733853e-03
4.400000000000000000e+09,4.400000000000000355e+00,6.813464954545454810e-02,1.572352316867303007e-02,2.223533995339841123e-03
4.416000000000000000e+09,4.416000000000000369e+00,6.788778487318840316e-02,6.965213926321028870e-02,9.849821686812408952e-03
4.432000000000000000e+09,4.432000000000000384e+00,6.764270261732852063e-02,1.814962017441235087e-02,2.566619263850234214e-03
4.448000000000000000e+09,4.448000000000000398e+00,6.739938354316546421e-02,1.060663096435598453e-02,1.499931298620021426e-03
4.464000000000000000e+09,4.464000000000000412e+00,6.715780869175627665e-02,3.484100933807571243e-02,4.927023534363654880e-03
4.480000000000000000e+09,4.480000000000000426e+00,6.691795937500000235e-02,1.253751138468513736e-02,1.772985766723704634e-03
4.496000000000000000e+09,4.496000000000000441e+00,6.667981717081850057e-02,6.971067366298407467e-03,9.858099299049668651e-04
4.512000000000000000e+09,4.511999999999999567e+00,6.644336391843971845e-02,1.200671004136876288e-02,1.697922765958869177e-03
4.528000000000000000e+09,4.527999999999999581e+00,6.620858171378091184e-02,4.596280180208874022e-02,6.499806133248231359e-03
4.544000000000000000e+09,4.543999999999999595e+00,6.597545290492957959e-02,1.066024212208451644e-02,1.507512693098863156e-03
4.560000000000000000e+09,4.559999999999999609e+00,6.574396008771929423e-02,2.718763183816560319e-02,3.844725065524030871e-03
4.576000000000000000e+09,4.575999999999999623e+00,6.551408610139859701e-02,8.534492334422835724e-02,1.206900872977692551e-02
4.592000000000000000e+09,4.591999999999999638e+00,6.528581402439023740e-02,1.513027445358424740e-02,2.139640031401801243e-03
4.608000000000000000e+09,4.607999999999999652e+00,6.505912717013888347e-02,5.319427473755881930e-02,7.522441183669612876e-03
4.624000000000000000e+09,4.623999999999999666e+00,6.483400908304498556e-02,9.383766704993008745e-02,1.327000574175448561e-02
4.640000000000000000e+09,4.639999999999999680e+00,6.461044353448275324e-02,7.149591945266582302e-03,1.011055892026887972e-03
4.656000000000000000e+09,4.655999999999999694e+00,6.438841451890034429e-02,5.031005616706101663e-02,7.114570888145154391e-03
4.672000000000000000e+09,4.671999999999999709e+00,6.416790625000000359e-02,5.324050132480250691e-02,7.528978292886310229e-03
4.688000000000000000e+09,4.687999999999999723e+00,6.394890315699658379e-02,3.227630393702097286e-04,4.564337030448375554e-05
4.704000000000000000e+09,4.703999999999999737e+00,6.373138988095237989e-02,2.441132461361396680e-02,3.452114997851828126e-03
4.720000000000000000e+09,4.719999999999999751e+00,6.351535127118644597e-02,2.179027533338133427e-02,3.081460653050164568e-03
